hotel_name,address,stars,rating,check-in-date,check-out-date,room_type,price,capacity,location_from_center,is_hotel_chain,has_parking,has_wifi,has_breakfast_food_drinks,has_pool,has_beach_front,has_gym,has_airport_shuttle

Gumleaves Hotel And Restaurant,"133 National Highway Barrio Barretto, 2200 Olongapo, Philippines",2,8.1,2018-08-02,2018-08-03,Single Room,₱ 700,1,not available,0,1,1,0,1,0,0,0

Gumleaves Hotel And Restaurant,"133 National Highway Barrio Barretto, 2200 Olongapo, Philippines",2,8.1,2018-08-02,2018-08-03,Standard Single Room,₱ 999,1,not available,0,1,1,0,1,0,0,0

Gumleaves Hotel And Restaurant,"133 National Highway Barrio Barretto, 2200 Olongapo, Philippines",2,8.1,2018-08-02,2018-08-03,Deluxe Single Room with Balcony,"₱ 1,400",1,not available,0,1,1,0,1,0,0,0

Gumleaves Hotel And Restaurant,"133 National Highway Barrio Barretto, 2200 Olongapo, Philippines",2,8.1,2018-08-02,2018-08-03,Large Single Room,"₱ 1,800",1,not available,0,1,1,0,1,0,0,0

Gumleaves Hotel And Restaurant,"133 National Highway Barrio Barretto, 2200 Olongapo, Philippines",2,8.1,2018-08-02,2018-08-03,Superior Single Room,"₱ 2,000",1,not available,0,1,1,0,1,0,0,0

Gumleaves Hotel And Restaurant,"133 National Highway Barrio Barretto, 2200 Olongapo, Philippines",2,8.1,2018-08-04,2018-08-05,Single Room,₱ 700,1,not available,0,1,1,0,1,0,0,0

Gumleaves Hotel And Restaurant,"133 National Highway Barrio Barretto, 2200 Olongapo, Philippines",2,8.1,2018-08-04,2018-08-05,Standard Single Room,₱ 999,1,not available,0,1,1,0,1,0,0,0

Gumleaves Hotel And Restaurant,"133 National Highway Barrio Barretto, 2200 Olongapo, Philippines",2,8.1,2018-08-04,2018-08-05,Deluxe Single Room with Balcony,"₱ 1,400",1,not available,0,1,1,0,1,0,0,0

Gumleaves Hotel And Restaurant,"133 National Highway Barrio Barretto, 2200 Olongapo, Philippines",2,8.1,2018-08-04,2018-08-05,Large Single Room,"₱ 1,800",1,not available,0,1,1,0,1,0,0,0

Gumleaves Hotel And Restaurant,"133 National Highway Barrio Barretto, 2200 Olongapo, Philippines",2,8.1,2018-08-04,2018-08-05,Superior Single Room,"₱ 2,000",1,not available,0,1,1,0,1,0,0,0

Gumleaves Hotel And Restaurant,"133 National Highway Barrio Barretto, 2200 Olongapo, Philippines",2,8.1,2018-08-09,2018-08-10,Single Room,₱ 700,1,not available,0,1,1,0,1,0,0,0

Gumleaves Hotel And Restaurant,"133 National Highway Barrio Barretto, 2200 Olongapo, Philippines",2,8.1,2018-08-09,2018-08-10,Standard Single Room,₱ 999,1,not available,0,1,1,0,1,0,0,0

Gumleaves Hotel And Restaurant,"133 National Highway Barrio Barretto, 2200 Olongapo, Philippines",2,8.1,2018-08-09,2018-08-10,Deluxe Single Room with Balcony,"₱ 1,400",1,not available,0,1,1,0,1,0,0,0

Gumleaves Hotel And Restaurant,"133 National Highway Barrio Barretto, 2200 Olongapo, Philippines",2,8.1,2018-08-09,2018-08-10,Large Single Room,"₱ 1,800",1,not available,0,1,1,0,1,0,0,0

Gumleaves Hotel And Restaurant,"133 National Highway Barrio Barretto, 2200 Olongapo, Philippines",2,8.1,2018-08-09,2018-08-10,Superior Single Room,"₱ 2,000",1,not available,0,1,1,0,1,0,0,0

Gumleaves Hotel And Restaurant,"133 National Highway Barrio Barretto, 2200 Olongapo, Philippines",2,8.1,2018-08-16,2018-08-17,Single Room,₱ 700,1,not available,0,1,1,0,1,0,0,0

