hotel_name,address,stars,rating,check-in-date,check-out-date,room_type,price,capacity,location_from_center,is_hotel_chain,has_parking,has_wifi,has_breakfast_food_drinks,has_pool,has_beach_front,has_gym,has_airport_shuttle
The Strand Suites and Dormitel,"#4 Road 2 Doña Vicenta Subdivision Bajada, 8000 Davao City, Philippines",2,8.9,2018-07-05,2018-07-06,Studio,"₱ 1,100",2,(2.1 km from centre),0,1,1,0,0,0,0,0
The Strand Suites and Dormitel,"#4 Road 2 Doña Vicenta Subdivision Bajada, 8000 Davao City, Philippines",2,8.9,2018-07-11,2018-07-12,Studio,"₱ 1,100",2,(2.1 km from centre),0,1,1,0,0,0,0,0
The Strand Suites and Dormitel,"#4 Road 2 Doña Vicenta Subdivision Bajada, 8000 Davao City, Philippines",2,8.9,2018-07-25,2018-07-26,Standard Single Room,₱ 900,1,(2.1 km from centre),0,1,1,0,0,0,0,0
The Strand Suites and Dormitel,"#4 Road 2 Doña Vicenta Subdivision Bajada, 8000 Davao City, Philippines",2,8.9,2018-08-01,2018-08-02,Standard Single Room,₱ 900,1,(2.1 km from centre),0,1,1,0,0,0,0,0
The Strand Suites and Dormitel,"#4 Road 2 Doña Vicenta Subdivision Bajada, 8000 Davao City, Philippines",2,8.9,2018-08-03,2018-08-04,Standard Single Room,₱ 900,1,(2.1 km from centre),0,1,1,0,0,0,0,0
The Strand Suites and Dormitel,"#4 Road 2 Doña Vicenta Subdivision Bajada, 8000 Davao City, Philippines",2,8.9,2018-08-08,2018-08-09,Standard Single Room,₱ 900,1,(2.1 km from centre),0,1,1,0,0,0,0,0
The Strand Suites and Dormitel,"#4 Road 2 Doña Vicenta Subdivision Bajada, 8000 Davao City, Philippines",2,8.9,2018-08-15,2018-08-16,Standard Single Room,₱ 900,1,(2.1 km from centre),0,1,1,0,0,0,0,0
The Strand Suites and Dormitel,"#4 Road 2 Doña Vicenta Subdivision Bajada, 8000 Davao City, Philippines",2,8.9,2018-08-22,2018-08-23,Standard Single Room,₱ 900,1,(2.1 km from centre),0,1,1,0,0,0,0,0
The Strand Suites and Dormitel,"#4 Road 2 Doña Vicenta Subdivision Bajada, 8000 Davao City, Philippines",2,8.9,2018-08-29,2018-08-30,Standard Single Room,₱ 900,1,(2.1 km from centre),0,1,1,0,0,0,0,0
The Strand Suites and Dormitel,"#4 Road 2 Doña Vicenta Subdivision Bajada, 8000 Davao City, Philippines",2,8.9,2018-09-02,2018-09-03,Standard Single Room,₱ 900,1,(2.1 km from centre),0,1,1,0,0,0,0,0
The Strand Suites and Dormitel,"#4 Road 2 Doña Vicenta Subdivision Bajada, 8000 Davao City, Philippines",2,8.9,2018-09-05,2018-09-06,Standard Single Room,₱ 900,1,(2.1 km from centre),0,1,1,0,0,0,0,0
The Strand Suites and Dormitel,"#4 Road 2 Doña Vicenta Subdivision Bajada, 8000 Davao City, Philippines",2,8.9,2018-09-12,2018-09-13,Standard Single Room,₱ 900,1,(2.1 km from centre),0,1,1,0,0,0,0,0
The Strand Suites and Dormitel,"#4 Road 2 Doña Vicenta Subdivision Bajada, 8000 Davao City, Philippines",2,8.9,2018-09-19,2018-09-20,Standard Single Room,₱ 900,1,(2.1 km from centre),0,1,1,0,0,0,0,0
The Strand Suites and Dormitel,"#4 Road 2 Doña Vicenta Subdivision Bajada, 8000 Davao City, Philippines",2,8.9,2018-09-26,2018-09-27,Standard Single Room,₱ 900,1,(2.1 km from centre),0,1,1,0,0,0,0,0
The Strand Suites and Dormitel,"#4 Road 2 Doña Vicenta Subdivision Bajada, 8000 Davao City, Philippines",2,8.9,2018-10-02,2018-10-03,Standard Single Room,₱ 900,1,(2.1 km from centre),0,1,1,0,0,0,0,0
The Strand Suites and Dormitel,"#4 Road 2 Doña Vicenta Subdivision Bajada, 8000 Davao City, Philippines",2,8.9,2018-10-03,2018-10-04,Standard Single Room,₱ 900,1,(2.1 km from centre),0,1,1,0,0,0,0,0
The Strand Suites and Dormitel,"#4 Road 2 Doña Vicenta Subdivision Bajada, 8000 Davao City, Philippines",2,8.9,2018-10-10,2018-10-11,Standard Single Room,₱ 900,1,(2.1 km from centre),0,1,1,0,0,0,0,0
The Strand Suites and Dormitel,"#4 Road 2 Doña Vicenta Subdivision Bajada, 8000 Davao City, Philippines",2,8.9,2018-10-17,2018-10-18,Standard Single Room,₱ 900,1,(2.1 km from centre),0,1,1,0,0,0,0,0
